id,name,reason,target,post,tags,status
1,生成 ai,AIを日常利用する人が増え、『自分でも使えるか』を試す動きが広がっている。,AI初心者 / 仕事効率化したい人,『生成 ai』、最近かなり一般層まで広がってきてる。\n\n『AIって一部の人だけのもの』じゃなくなってきた感ある。,AI|効率化,保留
11,節電 モード,電気代を気にする人が増える中で、消費電力を抑えたい需要が高まっている。,一人暮らし / ファミリー / 在宅ワーカー,最近、『節電 モード』系の検索かなり増えてる。\n\n“ちょっとでも電気代抑えたい”空気、今年かなり強いかも。,節電|電気代,保留
21,在宅 ワーク,在宅時間の増加により、家での快適さや効率を上げたい需要が継続している。,在宅ワーカー / フリーランス,『在宅 ワーク』周りの需要、まだ伸びてる。\n\n“家を仕事しやすくする”流れ、定着してきたかも。,在宅|働き方,保留
12,節電 エアコン,電気代を気にする人が増える中で、消費電力を抑えたい需要が高まっている。,一人暮らし / ファミリー / 在宅ワーカー,最近、『節電 エアコン』系の検索かなり増えてる。\n\n“ちょっとでも電気代抑えたい”空気、今年かなり強いかも。,節電|電気代,保留
2,ai 画像,AIを日常利用する人が増え、『自分でも使えるか』を試す動きが広がっている。,AI初心者 / 仕事効率化したい人,『ai 画像』、最近かなり一般層まで広がってきてる。\n\n『AIって一部の人だけのもの』じゃなくなってきた感ある。,AI|効率化,保留
3,google ai,AIを日常利用する人が増え、『自分でも使えるか』を試す動きが広がっている。,AI初心者 / 仕事効率化したい人,『google ai』、最近かなり一般層まで広がってきてる。\n\n『AIって一部の人だけのもの』じゃなくなってきた感ある。,AI|効率化,保留
4,ai 動画,AIを日常利用する人が増え、『自分でも使えるか』を試す動きが広がっている。,AI初心者 / 仕事効率化したい人,『ai 動画』、最近かなり一般層まで広がってきてる。\n\n『AIって一部の人だけのもの』じゃなくなってきた感ある。,AI|効率化,保留
13,節電 方法,電気代を気にする人が増える中で、消費電力を抑えたい需要が高まっている。,一人暮らし / ファミリー / 在宅ワーカー,最近、『節電 方法』系の検索かなり増えてる。\n\n“ちょっとでも電気代抑えたい”空気、今年かなり強いかも。,節電|電気代,保留
5,line ai,AIを日常利用する人が増え、『自分でも使えるか』を試す動きが広がっている。,AI初心者 / 仕事効率化したい人,『line ai』、最近かなり一般層まで広がってきてる。\n\n『AIって一部の人だけのもの』じゃなくなってきた感ある。,AI|効率化,保留
14,節電 対策,電気代を気にする人が増える中で、消費電力を抑えたい需要が高まっている。,一人暮らし / ファミリー / 在宅ワーカー,最近、『節電 対策』系の検索かなり増えてる。\n\n“ちょっとでも電気代抑えたい”空気、今年かなり強いかも。,節電|電気代,保留
6,gemini ai,AIを日常利用する人が増え、『自分でも使えるか』を試す動きが広がっている。,AI初心者 / 仕事効率化したい人,『gemini ai』、最近かなり一般層まで広がってきてる。\n\n『AIって一部の人だけのもの』じゃなくなってきた感ある。,AI|効率化,保留
7,ai モード,AIを日常利用する人が増え、『自分でも使えるか』を試す動きが広がっている。,AI初心者 / 仕事効率化したい人,『ai モード』、最近かなり一般層まで広がってきてる。\n\n『AIって一部の人だけのもの』じゃなくなってきた感ある。,AI|効率化,保留
8,ai 画像 生成,AIを日常利用する人が増え、『自分でも使えるか』を試す動きが広がっている。,AI初心者 / 仕事効率化したい人,『ai 画像 生成』、最近かなり一般層まで広がってきてる。\n\n『AIって一部の人だけのもの』じゃなくなってきた感ある。,AI|効率化,保留
15,扇風機,『扇風機』に関する関心がじわじわ増えている可能性がある。,情報感度が高い人,最近、『扇風機』を見かける回数が増えてる。,トレンド,保留
22,求人,『求人』に関する関心がじわじわ増えている可能性がある。,情報感度が高い人,最近、『求人』を見かける回数が増えてる。,トレンド,保留
23,在宅 ワーク 求人,在宅時間の増加により、家での快適さや効率を上げたい需要が継続している。,在宅ワーカー / フリーランス,『在宅 ワーク 求人』周りの需要、まだ伸びてる。\n\n“家を仕事しやすくする”流れ、定着してきたかも。,在宅|働き方,保留
9,claude ai,AIを日常利用する人が増え、『自分でも使えるか』を試す動きが広がっている。,AI初心者 / 仕事効率化したい人,『claude ai』、最近かなり一般層まで広がってきてる。\n\n『AIって一部の人だけのもの』じゃなくなってきた感ある。,AI|効率化,保留
10,ai チャット,AIを日常利用する人が増え、『自分でも使えるか』を試す動きが広がっている。,AI初心者 / 仕事効率化したい人,『ai チャット』、最近かなり一般層まで広がってきてる。\n\n『AIって一部の人だけのもの』じゃなくなってきた感ある。,AI|効率化,保留
16,扇風機 節電,電気代を気にする人が増える中で、消費電力を抑えたい需要が高まっている。,一人暮らし / ファミリー / 在宅ワーカー,最近、『扇風機 節電』系の検索かなり増えてる。\n\n“ちょっとでも電気代抑えたい”空気、今年かなり強いかも。,節電|電気代,保留
17,冷房 節電,電気代を気にする人が増える中で、消費電力を抑えたい需要が高まっている。,一人暮らし / ファミリー / 在宅ワーカー,最近、『冷房 節電』系の検索かなり増えてる。\n\n“ちょっとでも電気代抑えたい”空気、今年かなり強いかも。,節電|電気代,保留
18,iphone 節電,電気代を気にする人が増える中で、消費電力を抑えたい需要が高まっている。,一人暮らし / ファミリー / 在宅ワーカー,最近、『iphone 節電』系の検索かなり増えてる。\n\n“ちょっとでも電気代抑えたい”空気、今年かなり強いかも。,節電|電気代,保留
19,節電 モード 解除,電気代を気にする人が増える中で、消費電力を抑えたい需要が高まっている。,一人暮らし / ファミリー / 在宅ワーカー,最近、『節電 モード 解除』系の検索かなり増えてる。\n\n“ちょっとでも電気代抑えたい”空気、今年かなり強いかも。,節電|電気代,保留
20,節電 タップ,電気代を気にする人が増える中で、消費電力を抑えたい需要が高まっている。,一人暮らし / ファミリー / 在宅ワーカー,最近、『節電 タップ』系の検索かなり増えてる。\n\n“ちょっとでも電気代抑えたい”空気、今年かなり強いかも。,節電|電気代,保留
24,バイト,『バイト』に関する関心がじわじわ増えている可能性がある。,情報感度が高い人,最近、『バイト』を見かける回数が増えてる。,トレンド,保留
25,在宅 バイト,在宅時間の増加により、家での快適さや効率を上げたい需要が継続している。,在宅ワーカー / フリーランス,『在宅 バイト』周りの需要、まだ伸びてる。\n\n“家を仕事しやすくする”流れ、定着してきたかも。,在宅|働き方,保留
26,在宅 ワーク バイト,在宅時間の増加により、家での快適さや効率を上げたい需要が継続している。,在宅ワーカー / フリーランス,『在宅 ワーク バイト』周りの需要、まだ伸びてる。\n\n“家を仕事しやすくする”流れ、定着してきたかも。,在宅|働き方,保留
27,在宅 ワーク 仕事,在宅時間の増加により、家での快適さや効率を上げたい需要が継続している。,在宅ワーカー / フリーランス,『在宅 ワーク 仕事』周りの需要、まだ伸びてる。\n\n“家を仕事しやすくする”流れ、定着してきたかも。,在宅|働き方,保留
28,データ 入力 在宅,在宅時間の増加により、家での快適さや効率を上げたい需要が継続している。,在宅ワーカー / フリーランス,『データ 入力 在宅』周りの需要、まだ伸びてる。\n\n“家を仕事しやすくする”流れ、定着してきたかも。,在宅|働き方,保留
29,在宅 ワーク データ 入力,在宅時間の増加により、家での快適さや効率を上げたい需要が継続している。,在宅ワーカー / フリーランス,『在宅 ワーク データ 入力』周りの需要、まだ伸びてる。\n\n“家を仕事しやすくする”流れ、定着してきたかも。,在宅|働き方,保留
30,在宅 ワーク 主婦,在宅時間の増加により、家での快適さや効率を上げたい需要が継続している。,在宅ワーカー / フリーランス,『在宅 ワーク 主婦』周りの需要、まだ伸びてる。\n\n“家を仕事しやすくする”流れ、定着してきたかも。,在宅|働き方,保留
